Order_ID,Product_ID,Quantity,Timestamp
1000,104,14,2025-01-01 00:00:00
1001,105,42,2025-01-01 02:00:00
1002,103,19,2025-01-01 04:00:00
1003,105,16,2025-01-01 06:00:00
1004,105,7,2025-01-01 08:00:00
1005,102,13,2025-01-01 10:00:00
1006,103,43,2025-01-01 12:00:00
1007,103,30,2025-01-01 14:00:00
1008,103,6,2025-01-01 16:00:00
1009,105,35,2025-01-01 18:00:00
1010,104,13,2025-01-01 20:00:00
1011,103,6,2025-01-01 22:00:00
1012,105,3,2025-01-02 00:00:00
1013,102,1,2025-01-02 02:00:00
1014,104,22,2025-01-02 04:00:00
1015,102,8,2025-01-02 06:00:00
1016,104,25,2025-01-02 08:00:00
1017,105,46,2025-01-02 10:00:00
1018,101,13,2025-01-02 12:00:00
1019,104,41,2025-01-02 14:00:00
1020,102,10,2025-01-02 16:00:00
1021,105,47,2025-01-02 18:00:00
1022,104,-1,2025-01-02 20:00:00
1023,101,29,2025-01-02 22:00:00
1024,101,6,2025-01-03 00:00:00
1025,103,19,2025-01-03 02:00:00
1026,103,46,2025-01-03 04:00:00
1027,102,15,2025-01-03 06:00:00
1028,104,30,2025-01-03 08:00:00
1029,104,47,
1030,103,17,2025-01-03 12:00:00
1031,104,10,2025-01-03 14:00:00
1032,104,33,2025-01-03 16:00:00
1033,101,39,2025-01-03 18:00:00
1034,103,47,2025-01-03 20:00:00
1035,105,36,2025-01-03 22:00:00
1036,103,33,2025-01-04 00:00:00
1037,105,8,2025-01-04 02:00:00
1038,101,25,2025-01-04 04:00:00
1039,102,-1,2025-01-04 06:00:00
1040,104,29,2025-01-04 08:00:00
1041,101,17,2025-01-04 10:00:00
1042,104,23,2025-01-04 12:00:00
1043,102,37,2025-01-04 14:00:00
1044,102,5,2025-01-04 16:00:00
1045,101,12,2025-01-04 18:00:00
1046,102,41,2025-01-04 20:00:00
1047,105,6,2025-01-04 22:00:00
1048,102,3,2025-01-05 00:00:00
1049,104,4,
1050,104,38,2025-01-05 04:00:00
1051,104,11,2025-01-05 06:00:00
1052,104,32,2025-01-05 08:00:00
1053,105,1,2025-01-05 10:00:00
1054,103,40,2025-01-05 12:00:00
1055,101,7,2025-01-05 14:00:00
1056,104,34,2025-01-05 16:00:00
1057,102,36,2025-01-05 18:00:00
1058,104,3,2025-01-05 20:00:00
1059,102,44,2025-01-05 22:00:00
1060,102,21,2025-01-06 00:00:00
1061,104,-4,2025-01-06 02:00:00
1062,105,-1,2025-01-06 04:00:00
1063,102,23,2025-01-06 06:00:00
1064,102,31,2025-01-06 08:00:00
1065,104,32,2025-01-06 10:00:00
1066,102,13,2025-01-06 12:00:00
1067,102,2,2025-01-06 14:00:00
1068,104,42,2025-01-06 16:00:00
1069,104,39,2025-01-06 18:00:00
1070,101,-5,2025-01-06 20:00:00
1071,105,16,2025-01-06 22:00:00
1072,105,46,2025-01-07 00:00:00
1073,102,11,2025-01-07 02:00:00
1074,105,1,2025-01-07 04:00:00
1075,102,19,2025-01-07 06:00:00
1076,101,39,
1077,104,-2,2025-01-07 10:00:00
1078,104,30,2025-01-07 12:00:00
1079,104,0,2025-01-07 14:00:00
1080,105,25,2025-01-07 16:00:00
1081,101,13,2025-01-07 18:00:00
1082,105,38,2025-01-07 20:00:00
1083,105,48,2025-01-07 22:00:00
1084,101,33,2025-01-08 00:00:00
1085,101,21,2025-01-08 02:00:00
1086,101,4,2025-01-08 04:00:00
1087,101,20,2025-01-08 06:00:00
1088,104,13,2025-01-08 08:00:00
1089,103,33,2025-01-08 10:00:00
1090,103,-3,
1091,101,39,2025-01-08 14:00:00
1092,103,7,2025-01-08 16:00:00
1093,103,44,2025-01-08 18:00:00
1094,101,22,2025-01-08 20:00:00
1095,103,14,2025-01-08 22:00:00
1096,105,22,2025-01-09 00:00:00
1097,102,2,2025-01-09 02:00:00
1098,102,35,2025-01-09 04:00:00
1099,101,33,2025-01-09 06:00:00
1100,104,-5,2025-01-09 08:00:00
1101,101,-3,2025-01-09 10:00:00
